name, action, object, birth, death, is_male, language, region, tag, note
cleopatra, seducing, a snake, -69, -30, 0, greek egyptian, west, local, central to the politics of the whole mediterranian
hypatia, building, an astrolabe, 370, 415, 0, greek, west, local, neoplatonic. algebra and astronomy. astrolabe. hydrometer. pagan/christian conflict.
attila the hun, riding, a horse, 406, 453, 1, hungarian, west, local, conquest of eastern europe
charlemagne, raising, a penguin, 742, 814, 1, latin, west, , educational reform. preservation of latin text
genghis khan,,, 1158, 1227, 1, mongolian, east, local, first khan.
mansa musa, giving away, gold, 1280, 1337, 1,, africa, local, wealthiest man ever
pachacuti inca yupanqui, climbing, a pole, 1438, 1471, 1, quechua, south, local, emperor for which machu picchu was built
# francis drake,,, 1540, 1596, 1, english, west, local, pirate. spanish armada
oda nobunaga, bathing with, a koi, 1534, 1582, 1, japanese, east, local, unified japan
oliver cromwell,,,1599, 1658, 1, english, west, local, lead army against charles I
louis xiv,,, 1638, 1715, 1, french, west, local, the sun king
# louis xiii,,, ,, 1, french, west, local, consolidation of royal power. ref: cardinal richelieu
blackbeard, filling their beard with, smokebombs, 1680, 1718, 1, english, north,, edward teach. yo ho ho a pirates life for me
catherine the great,,, 1729, 1796, 0, russian, east, local, golden age of russia
# george washington,,, 1732, 1799, 1, english, north, local, founding fathers
alexander hamilton, dueling with, a pistol, 1757, 1804, 1, english, north, local, first american secretary of the treasury. great musical
karl marx, sharing, party hats, 1818, 1883, 1, german, east, local, communist manifesto. das kapital
sitting bull, scalping, an eagle, 1832,1890, 1, lakota, north, local, treatment of native americans by the USA
gertrude bell, passing, a letter, 1868, 1926, 0, english, central, local, influenced the arab revolt along with lawrence of arabia
vladamir lenin, harvesting with, a sickle, 1870, 1924, 1, russian, east, local, soviet union.
adolf hitler, hailing, a cab, 1889, 1945, 1, german, west, local, WWII dictator
ho chi minh,,, 1890, 1969, 1, french chinese vietnamese, east, local,
mao zedong, burning, the little red book, 1893, 1976, 1, chinese, east, local, cultural revolution
# jack churchill, charging into battle with, bagpipes, 1906, 1996, 1, english, west, local, WWII badass. went to battle with a bow and broadsword
steve jobs, selling, an ipod, 1955, 2011, 1, english, north, local, iphone
# neferneferuaten nefertiti,,, -1370, -1330, 0, egyptian, north, local, 

# (art)
# missing japan: pillow book(yosano akiko modernization). classic poetry
# missing china: classic poetry. four books and five classics
# missing scandanavia: poetic edda. beowulf
homer, punching, a rug, -700, -750, 1, greek, west, art, odyssey. illiad. possibly a mass pseudonym
sappho, petting, a titmouse, -630, -570, 0, greek, west, art, poems
hildegaard of blingen, playing, a lute, 1098, 1179, 0, german, west, art, music. saint. polymath
dante alighieri, ,, 1265, 1321, 1, italian, west, art, the divine comedy. ref: petrarch. boccaccio
# petrarch,,, 1304, 1374, 1, italian, west, art, poet. Francesco Petrarca. first humanist
# giovanni boccaccio,,, 1313, 1375, 1, italian, west, art, poet.
geoffrey chaucer, sleeping in, a boat, 1343, 1400, 1, english, west, art, canturbury tales
leonardo da vinci, dissecting, a vitruvian man, 1458, 1519, 1, italian, west, art, polymath
# michelangelo,,, 1475, 1564, 1, italian, west, art, sculpture
# miguel de cervantes,,, 1547, 1616, 1, spanish, west, art, don quixote
william shakespeare, admiring, a skull, 1564, 1616, 1, english, west, art, playwright
# johannes vermeer,,, 1632, 1675, 1, flemish, west, art, 34 paintings
# daniel defoe,,, 1660, 1731, 1, english, west, art, robinson crusoe
# jane austen,,, 1775, 1817, 0, english, west, art, pride and prejudice
mary shelley,,, 1797, 1851, 0, english, west, art, frankenstein
edgar allan poe, quoting, a raven, 1809, 1849, 1, english, north, art, short stories. conflict: darwin tennyson
# alfred tennyson,,, 1809, 1892, 1, english, west, art, victorian poet
fyodor dostoevsky,,, 1821, 1881, 1, russian, east, art, crime and punishment. works of human psychology
# emily dickenson,,, 1830, 1886, 0, english, north, art, posthumous poetry
mark twain,,, 1835, 1910, 1, english, north, art, samuel langhorne clemens
konstantin sergeyevich stanislavski,,, 1863, 1938, 1, russian, east, art, theater method
t s eliot, bowling, a ball, 1888, 1965, 1, english, west, art, modernist poetry. lovesong of j alfred prufrock
# coco chanel,,, 1883, 1971, 0, french, west, art, high fashion
# charlie chaplin,,, 1889, 1977, 1, english, north, art, silent film. vaudeville
# h p lovecraft,,, 1890, 1937, 1, english, north, art, short stories. conflict: ho chi minh
# buster keaton,,, 1895, 1966, 1, english, north, art, silent film. ref: charlie chaplin
walt disney, smoking, a cigarette, 1901, 1966, 1, english, north, art, disney founder. copyrightist
rod sterling,,, 1924, 1975, 1, english, north, art, the twilight zone
tupac shakur, spitting on, a microphone, 1971, 1996, 1, english, north, art,

# new
# carl gustav jacob jacobi,,, 1804, 1851, 1, german, west, math, elliptic functions
